Age,Gender,Country,City,Membership_Years,Login_Frequency,Session_Duration_Avg,Pages_Per_Session,Cart_Abandonment_Rate,Wishlist_Items,Total_Purchases,Average_Order_Value,Days_Since_Last_Purchase,Discount_Usage_Rate,Returns_Rate,Email_Open_Rate,Customer_Service_Calls,Product_Reviews_Written,Social_Media_Engagement_Score,Mobile_App_Usage,Payment_Method_Diversity,Lifetime_Value,Credit_Balance,Churned,Signup_Quarter
27.0,Female,Germany,Frankfurt,1.8,14.0,32.3,11.4,37.9,11.0,-9.1,285.01,47.0,38.16,9.8,36.8,7.0,3.0,51.1,24.6,1.0,4885.17,3358.0,1,Q4
58.0,Female,France,Toulouse,0.8,5.0,18.7,9.1,46.7,3.0,-6.0,141.3,8.0,14.7,4.3,0.1,2.0,1.0,24.7,14.0,1.0,1289.6,1636.0,0,Q2
33.0,Male,USA,New York,2.1,0.0,16.0,8.3,57.2,3.0,-10.4,106.64,18.0,6.6,8.9,12.7,8.0,0.0,,10.3,1.0,745.81,721.0,0,Q4
43.0,Male,UK,Glasgow,3.7,21.0,44.5,17.1,29.8,13.0,-11.7,172.67,32.0,64.44,8.7,47.2,1.0,6.0,66.3,39.0,1.0,4138.14,2774.0,0,Q4
45.0,Female,Canada,Toronto,1.3,8.0,13.8,7.5,38.2,3.0,-3.0,64.59,7.0,8.3,8.2,22.0,4.0,2.0,29.6,16.1,1.0,530.41,2417.0,0,Q2
51.0,Male,Canada,Ottawa,5.5,16.0,35.1,12.9,49.9,,-1.0,134.1,27.0,7.2,4.1,38.2,3.0,4.0,51.5,26.8,2.0,1655.88,2620.0,0,Q2
39.0,Male,India,Mumbai,8.1,9.0,25.3,10.3,60.1,,-2.6,183.97,6.0,36.84,3.9,4.7,6.0,3.0,8.9,21.1,1.0,1246.39,1630.0,0,Q4
39.0,Male,Germany,Berlin,4.0,22.0,38.6,13.0,5.0,6.0,-11.7,140.18,,37.44,7.9,27.8,2.0,8.0,36.2,31.4,1.0,2931.41,4129.0,0,Q4
24.0,Female,Canada,Montreal,3.7,16.0,22.0,7.4,62.2,4.0,-10.0,175.03,55.0,2.5,5.5,18.6,6.0,2.0,0.0,20.0,3.0,1182.36,1546.0,1,Q2
44.0,Female,Canada,Calgary,8.3,6.0,25.6,8.4,54.5,4.0,-5.2,168.84,44.0,41.4,1.1,29.6,10.0,1.0,29.6,22.7,2.0,1529.44,2503.0,0,Q4
